DATES,CAR,SGJ,1834,JMMBGL,JSE
43791,8.33,52.95,1.17,45.23,27.5
43794,8.35,55.73,1.17,46.33,25.28
43795,8.48,54.43,1.2,46.82,25.29
43796,8.53,54.84,1.2,46.67,25.97
43797,8.34,54.85,#N/A N/A,46.85,27.11
43798,8.13,54.05,1.2,46.32,27
43801,8.24,54.2,1.2,46.74,26.69
43802,8.12,55.9,1.18,47.46,26.98
43803,8.35,56,#N/A N/A,48,27.58
43804,8.49,56,1.2,45.01,27.99
43805,8.49,57.99,1.2,47,27.99
43808,8.49,57.99,1.2,47,27.99
43809,8.4,57,1.24,46.75,27.8
43810,8.4,57.5,1.25,47,27.8
43811,8.4,55.5,1.24,48,28
43812,8.4,55.5,1.2,48,27.95
43815,8.25,55,1.22,48,27
43816,8.44,55.45,1.14,47.87,27.95
43817,8.1,55.5,1.1,46.5,27.95
43818,8.49,54.7,1.11,47.03,27.95
43819,8.17,54,1.1,47.8,27.98
43822,8.3,54,1.11,46.5,27.97
43823,8.3,55,1.22,46.95,27.99
43826,8.15,55.5,1.22,46.94,27.97
43829,8.2,55.01,1.22,45.85,27.95
43830,8.2,57.2,1.05,46.2,27.9
43832,8.2,56,#N/A N/A,47.5,27.5
43833,8.2,57.99,1.06,48,27.97
43836,8.3,57,#N/A N/A,48,27.97
43837,8.3,57,#N/A N/A,48,27.99
43838,8.05,56.5,1.05,47.82,28.39
43839,8.2,58,1.21,48,28.38
43840,8.29,51.06,1.13,48.39,27.95
43843,8.29,55,1,45.8,27.95
43844,8,58,1.03,48,28.85
43845,8.2,57.95,1.05,46.75,28.71
43846,8.2,55,1.05,47.01,28.8
43847,8.1,56,1.06,47.1,28.86
43850,8.2,55.01,1.15,48.36,32.5
43851,7.98,58,1.1,48.3,32.88
43852,8,56,1.05,45.6,31.55
43853,8.14,54.21,1.05,45.2,34.95
43854,8,54,#N/A N/A,47,34
43857,8.13,56,1.12,46.3,33
43858,7.5,55,1.03,46.5,31.55
43859,8.05,54,1.1,47.5,32.8
43860,8.14,55.5,1.03,46.5,30.5
43861,8.14,53.5,1,45.2,32
43864,8.14,53.6,1.03,46,31
43865,8.05,57,#N/A N/A,46,32
43866,8,55,1.01,45,31.5
43867,8.05,56.99,1,43.7,31.4
43868,8.09,54.5,1,43,30
43871,8.01,53.4,1.05,43.2,31
43872,8.05,53.5,1,43.1,29.1
43873,8.02,53.5,1.03,44.5,29
43874,8.1,54,1.05,43.5,30.99
43875,8.1,54,#N/A N/A,45.29,31
43878,7.9,54,1.01,46,32
43879,8.07,54,0.99,46.19,31.5
43880,8.1,53.5,1.05,45.4,31.4
43881,8,53.35,1.05,45,29.5
43882,8.06,54,1.05,45.05,31.5
43885,7.95,55.5,1.05,45.45,31.5
43886,7.85,53.15,1.08,44,30.9
43888,7.8,54,1.1,42,31.5
43889,8.05,54,1.1,42,30.1
43892,7.98,54.5,1.15,42.1,27.5
43893,7.9,55,1.07,41,29
43894,7.95,53,1.15,39.01,26.51
43895,7.56,50.3,1.05,39,26
43896,7.4,46,1.1,39.8,27
43899,7.54,54.27,1.04,38.05,24.34
43901,7.4,51.02,1,37.71,21.63
43902,7.27,50.01,1,37.54,20.3
43903,7.18,49.27,1.1,37.89,20.77
43906,7.14,46.81,1.1,37.24,21.12
43908,6.61,45.96,1.02,37.48,19.54
43909,6.03,45.7,0.99,37.44,20.03
43910,6.01,40.41,0.99,36.46,19.05
43913,6.1,39.55,0.85,35.9,18.83
43914,6.01,38.73,0.86,34.33,19.05
43915,6,35.74,0.86,33.48,16.05
43916,6.71,40.57,0.86,33.59,16.74
43917,6.66,45.18,0.89,34.55,18.69
43920,6.52,45.12,0.93,36.07,19.12
43921,6.61,46.71,0.93,38.01,21.6
43922,6.75,46.66,0.86,38.05,22.54
43923,6.75,47.05,0.93,37.98,22.79
43924,6.66,47.98,0.86,38.14,22.47
43927,6.72,47.96,1.01,38.13,22.45
43928,6.7,47.99,0.98,38.4,22.41
43929,6.74,47.81,0.93,38.34,23.15
43930,6.75,47.94,0.93,38.41,23.02
43935,6.75,47.99,1.01,38.82,24.04
43936,6.7,47.89,0.99,38.43,22.93
43937,6.62,47.55,0.93,35.91,22.92
43938,6.51,46.37,0.96,37.46,22.48
43941,6.32,45.42,0.96,36.95,21.46
